EWN_OFFSET;POS;SAMA_Lemma;Pos_Sentiment_score;Neg_Sentiment_Score;Confidence;ANGER;DISGUST;FEAR;JOY;SADNESS;SURPRISE
00071456;r;musotadiyr;0;0;50;0.09870396;0.08314504;0.12545618;0.15716863;0.18368362;0.12398502
00092985;r;bat~;0.125;0.0;50.0;0.05881534;0.05397188;0.05197174;0.15129332;0.07579803;0.33712565
00078445;r;xufoyap;0.125;0.03125;50.0;0.08186599;0.08964251;0.22702733;0.09682221;0.18842412;0.07381450
00188510;r;>alA;0.0;0.0;50.0;0.11757402;0.12112399;0.08425004;0.12797195;0.06326933;0.18366598
00206479;r;girAr;0.125;0;100;0.19240494;0.16517549;0.06800399;0.11621007;0.19344153;0.10023859
00148139;r;marix;0.125;0;50;0.07218118;0.02642762;0.00000000;0.63252517;0.05485195;0.00592862
00162765;r;jahorap;0.0625;0.0;50.0;0.15546192;0.11915481;0.11176675;0.10257938;0.11329223;0.10552142
00051440;r;mayodAn;0.0;0.03125;100.0;0.11097211;0.06370188;0.10966519;0.11711159;0.12636729;0.15354456
00081591;r;>usobuwEiy~;0;0.375;100;0.06407735;0.08827933;0.07756158;0.12384103;0.13522088;0.11177830
00161630;r;maTuwl;0.0;0.0;33.0;0.08137396;0.07183502;0.11521858;0.19182333;0.16717024;0.16362399
00342624;r;jaboriy~;0.25;0;100;0.40513868;0.15867002;0.07545475;0.06108412;0.08909788;0.03102606
00108773;r;hahunA;0.0;0.0;100.0;0.10274013;0.12678219;0.07459191;0.14780702;0.10125947;0.15406035
00410210;r;layoliy~;0;0;33;0.12085638;0.00789457;0.15740129;0.25945649;0.13421401;0.04294252
00335809;r;bATil;0.25;0;50;0.15081939;0.02239370;0.42212338;0.03012951;0.12842968;0.03080256
00091534;r;Sulob;0.09375;0.14111328125;33.0;0.10846759;0.13860083;0.08374080;0.12637011;0.08038115;0.19640627
00222879;r;mut~a}id;0.0;0.0;50.0;0.08137396;0.07183502;0.11521858;0.19182333;0.16717024;0.16362399
00112393;r;HAjap;0.25;0;100;0.10249603;0.13468007;0.11664294;0.10843542;0.08674802;0.17147066
00258175;r;bilA$;0;0;100;0.00000000;0.00000000;0.00000000;0.04636514;0.00000000;0.81382814
00008007;r;kAf~ap;0.5;0;100;0.11416695;0.11600639;0.09701667;0.11616079;0.14578671;0.17117508
00162645;r;sir~;0.0;0.0;50.0;0.10940326;0.13153896;0.11913862;0.11816702;0.13339160;0.07103650
00341227;r;musaT~aH;0.25;0.0;50.0;0.12143979;0.13666809;0.18607885;0.07908329;0.10604387;0.10512667
00052026;r;mukaE~ab;0.0;0.03125;100.0;0.11097211;0.06370188;0.10966519;0.11711159;0.12636729;0.15354456
00221583;r;Eumuwm;0.0;0.1875;50.0;0.10095280;0.10050040;0.15635548;0.12581315;0.15195976;0.12135552
00004288;r;salob;0.0;0.5625;100.0;0.16861145;0.14528172;0.09771544;0.13355965;0.07659708;0.15191638
00273752;r;>aSowab;0.0;0.0;50.0;0.10023745;0.38367685;0.02756916;0.08315783;0.05135157;0.14065870
00086404;r;ma$oduwd;0.1875;0.0;50.0;0.12506842;0.12065227;0.12553691;0.15363201;0.11593824;0.11621129
00110919;r;xArijiy~;0.0;0.0;33.0;0.10764044;0.12051711;0.18394007;0.09756350;0.17018986;0.14263082
